MATCH UP,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Dec 21, 2023 - ORL @ MIL",L,109.22,40.09,83.85,47.98,11.45,31.89,36.06,17.58,23.27,75.61,10.16,31.4,41.56,24.4,14.69,8.11,4.98,18.76,1.73
"Dec 20, 2023 - ORL vs. MIA",L,109.3,40.18,84.12,47.94,11.39,31.91,35.85,17.55,23.27,75.51,10.21,31.41,41.62,24.43,14.55,8.07,5.05,18.84,1.62
"Dec 17, 2023 - ORL @ BOS",L,109.25,40.19,84.21,47.9,11.35,31.98,35.66,17.51,23.19,75.57,10.3,31.46,41.75,24.51,14.51,8.07,5.05,18.93,1.44
"Dec 15, 2023 - ORL @ BOS",L,109.03,40.09,84.29,47.74,11.34,32.05,35.57,17.52,23.21,75.56,10.29,31.48,41.78,24.4,14.41,8.05,5.03,18.88,1.12
"Dec 11, 2023 - ORL vs. CLE",W,109.07,40.12,84.34,47.75,11.39,32.1,35.65,17.44,23.12,75.5,10.34,31.49,41.83,24.41,14.53,8.0,4.98,18.93,0.81
"Dec 08, 2023 - ORL vs. DET",W,108.98,40.1,84.33,47.72,11.32,32.0,35.5,17.47,23.15,75.51,10.37,31.48,41.85,24.37,14.52,7.98,5.03,18.98,0.97
"Dec 06, 2023 - ORL @ CLE",L,109.21,40.25,84.41,47.84,11.3,31.9,35.55,17.43,23.08,75.56,10.3,31.61,41.9,24.39,14.44,7.93,5.02,19.0,1.48
"Dec 02, 2023 - ORL @ BKN",L,109.24,40.26,84.4,47.86,11.15,31.76,35.12,17.58,23.31,75.52,10.24,31.56,41.81,24.35,14.39,7.97,5.03,19.03,1.29
"Dec 01, 2023 - ORL vs. WAS",W,109.11,40.17,84.46,47.73,11.11,31.71,35.05,17.65,23.37,75.62,10.21,31.52,41.73,24.35,14.33,7.89,5.03,19.16,0.83
"Nov 29, 2023 - ORL vs. WAS",W,109.44,40.27,84.53,47.79,11.12,31.7,35.11,17.78,23.52,75.67,10.2,31.56,41.77,24.52,14.34,7.86,5.08,19.22,0.89
"Nov 26, 2023 - ORL vs. CHA",W,109.89,40.43,84.52,47.99,11.22,31.63,35.54,17.82,23.52,75.78,10.18,31.62,41.8,24.66,14.42,7.82,5.09,19.26,1.17
"Nov 24, 2023 - ORL vs. BOS",W,110.2,40.53,84.56,48.08,11.2,31.56,35.56,17.94,23.67,75.83,10.14,31.7,41.83,24.79,14.42,7.85,5.06,19.36,1.35
"Nov 22, 2023 - ORL vs. DEN",W,110.24,40.57,84.57,48.12,11.19,31.51,35.62,17.91,23.64,75.78,10.18,31.75,41.93,24.76,14.48,7.81,5.03,19.49,1.58
"Nov 21, 2023 - ORL vs. TOR",W,110.44,40.62,84.51,48.21,11.18,31.47,35.6,18.03,23.74,75.94,10.19,31.72,41.91,24.79,14.44,7.82,5.06,19.51,1.63
"Nov 19, 2023 - ORL @ IND",W,110.67,40.75,84.74,48.24,11.19,31.46,35.65,17.97,23.68,75.86,10.26,31.62,41.88,24.88,14.42,7.88,5.1,19.51,1.88
"Nov 17, 2023 - ORL @ CHI",W,110.91,40.79,84.77,48.25,11.13,31.3,35.64,18.21,23.94,75.96,10.23,31.66,41.89,24.83,14.43,7.91,5.17,19.56,2.03
"Nov 15, 2023 - ORL @ CHI",W,110.8,40.75,84.69,48.25,11.13,31.34,35.59,18.18,23.93,75.87,10.23,31.72,41.94,24.82,14.49,7.9,5.2,19.59,2.08
"Nov 14, 2023 - ORL @ BKN",L,110.6,40.62,84.65,48.12,11.08,31.29,35.49,18.26,24.01,75.93,10.25,31.75,42.0,24.75,14.5,7.96,5.17,19.61,2.08
"Nov 11, 2023 - ORL vs. MIL",W,110.51,40.56,84.62,48.07,11.15,31.49,35.48,18.23,23.97,75.94,10.23,31.7,41.93,24.73,14.52,7.97,5.15,19.56,1.78
"Nov 09, 2023 - ORL vs. ATL",L,110.53,40.5,84.61,48.0,11.14,31.42,35.53,18.39,24.12,76.07,10.3,31.65,41.95,24.72,14.54,7.99,5.11,19.53,1.96
"Nov 06, 2023 - ORL vs. DAL",L,110.64,40.52,84.68,47.98,11.12,31.36,35.55,18.48,24.27,76.01,10.4,31.61,42.01,24.64,14.6,8.04,5.12,19.59,1.92
"Nov 04, 2023 - ORL vs. LAL",W,110.53,40.51,84.68,47.97,11.08,31.3,35.47,18.42,24.18,76.03,10.34,31.62,41.96,24.67,14.68,8.01,5.11,19.64,1.7
"Nov 02, 2023 - ORL @ UTA",W,110.65,40.58,84.9,47.94,11.09,31.32,35.48,18.39,24.12,76.14,10.45,31.62,42.08,24.73,14.7,7.99,5.16,19.62,1.92
"Oct 31, 2023 - ORL @ LAC",L,110.71,40.56,84.9,47.91,11.08,31.29,35.47,18.5,24.27,76.12,10.45,31.64,42.09,24.76,14.73,8.1,5.21,19.69,1.92
"Oct 30, 2023 - ORL @ LAL",L,110.59,40.53,84.85,47.9,11.03,31.28,35.31,18.51,24.38,75.89,10.41,31.66,42.06,24.73,14.75,8.11,5.18,19.75,1.7
"Oct 27, 2023 - ORL @ POR",W,110.5,40.5,84.97,47.8,11.06,31.32,35.37,18.44,24.3,75.84,10.43,31.66,42.09,24.77,14.7,8.14,5.15,19.77,1.64
"Oct 25, 2023 - ORL vs. HOU",W,110.4,40.44,84.9,47.77,11.04,31.28,35.33,18.47,24.4,75.71,10.42,31.7,42.12,24.74,14.69,8.16,5.15,19.73,1.68
