DATE,HOME TEAM,AWAY TEAM,Winner (H/A),HOME PTS,HOME FGM,HOME FGA,HOME FG%,HOME 3PM,HOME 3PA,HOME 3P%,HOME FTM,HOME FTA,HOME FT%,HOME OREB,HOME DREB,HOME REB,HOME AST,HOME TOV,HOME STL,HOME BLK,HOME PF,HOME +/-,AWAY PTS,AWAY FGM,AWAY FGA,AWAY FG%,AWAY 3PM,AWAY 3PA,AWAY 3P%,AWAY FTM,AWAY FTA,AWAY FT%,AWAY OREB,AWAY DREB,AWAY REB,AWAY AST,AWAY TOV,AWAY STL,AWAY BLK,AWAY PF,AWAY +/-
"Feb 06, 2022",DAL,ATL,H,111.54,39.57,82.64,47.95,14.57,38.46,38.06,17.82,23.07,78.05,8.79,32.68,41.46,22.29,12.29,5.93,3.68,19.54,4.39,118.48,42.79,89.79,47.88,13.69,36.38,37.76,19.21,23.21,83.12,10.48,32.79,43.28,25.28,11.03,7.76,4.07,19.48,4.31
"Feb 04, 2022",TOR,ATL,H,111.29,41.52,91.71,45.32,11.19,33.1,33.51,17.06,22.42,76.78,13.55,32.29,45.84,21.81,11.84,8.61,4.03,19.23,3.9,117.67,42.6,89.97,47.58,13.4,36.0,37.17,19.07,22.97,83.48,10.63,32.87,43.5,25.13,11.07,7.73,4.07,19.43,3.87
"Feb 03, 2022",ATL,PHX,H,117.55,42.61,90.06,47.54,13.26,35.77,36.97,19.06,22.9,83.7,10.71,32.68,43.39,25.19,11.0,7.87,4.06,19.32,3.39,117.74,45.19,91.61,49.48,11.68,32.29,36.36,15.68,19.58,79.35,9.35,35.16,44.52,28.77,12.29,8.45,4.68,20.84,7.32
"Jan 31, 2022",ATL,TOR,A,117.75,42.66,89.88,47.69,13.47,35.91,37.38,18.97,22.88,83.36,10.56,32.75,43.31,25.19,11.12,7.81,3.97,19.38,3.56,112.12,41.76,91.71,45.66,11.47,32.79,34.91,17.12,22.38,77.28,13.68,32.41,46.09,22.21,12.09,8.62,4.03,19.26,4.21
"Jan 30, 2022",ATL,LAL,H,117.21,42.48,89.61,47.63,13.42,35.79,37.38,18.82,22.67,83.48,10.39,33.0,43.39,25.27,11.24,7.76,4.0,19.39,3.27,113.94,42.0,87.94,47.75,11.77,34.06,34.43,18.16,24.94,72.47,9.71,33.39,43.1,23.94,14.13,6.84,4.61,19.97,-5.42
"Jan 28, 2022",ATL,BOS,H,117.56,42.68,89.44,47.94,13.32,35.65,37.23,18.88,22.94,82.96,10.32,33.12,43.44,25.44,11.26,7.74,3.88,19.44,3.41,118.06,43.28,86.84,49.94,14.69,38.56,37.83,16.81,20.88,81.12,9.97,35.69,45.66,27.88,12.91,7.12,5.84,18.09,14.34
"Jan 26, 2022",ATL,SAC,H,117.29,42.63,89.43,47.89,13.29,35.51,37.27,18.74,22.86,82.59,10.29,33.14,43.43,25.26,11.29,7.8,4.09,19.49,3.77,111.28,40.38,85.66,47.25,11.03,32.0,34.72,19.5,24.81,78.54,8.12,32.78,40.91,24.91,14.34,7.28,4.16,18.28,-5.81
"Jan 23, 2022",CHA,ATL,A,117.03,43.11,90.23,47.92,13.8,38.11,36.21,17.0,22.8,75.15,11.17,33.6,44.77,29.34,13.46,8.34,4.6,20.66,1.17,117.39,42.78,89.44,48.04,13.25,35.53,37.16,18.58,22.69,82.42,10.17,33.39,43.56,25.36,11.22,7.83,4.03,19.44,4.14
"Jan 21, 2022",ATL,MIA,H,117.27,42.7,89.41,47.97,13.3,35.62,37.2,18.57,22.73,82.22,10.08,33.51,43.59,25.35,11.19,7.95,4.08,19.51,4.62,112.0,39.89,83.81,47.81,13.72,35.53,38.62,18.5,22.81,81.46,8.5,34.08,42.58,25.39,14.75,7.58,3.17,21.25,4.47
"Jan 19, 2022",ATL,MIN,H,117.08,42.58,88.84,48.18,13.32,35.55,37.34,18.61,22.76,82.25,9.97,33.42,43.39,25.37,11.37,7.82,4.0,19.45,4.55,122.62,43.3,90.16,48.11,15.35,40.59,38.11,20.68,25.84,80.16,9.76,32.95,42.7,27.16,13.27,8.84,5.41,21.22,4.89
