MATCH UP,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Dec 13, 2022 - HOU vs. PHX",W,110.96,41.36,89.25,46.37,9.76,30.53,31.77,18.47,25.07,73.29,13.36,32.69,46.05,22.91,15.49,7.13,4.38,20.31,-9.15
"Dec 11, 2022 - HOU vs. MIL",W,110.96,41.23,89.11,46.29,9.8,30.61,31.82,18.7,25.23,73.61,13.43,33.0,46.43,22.79,15.62,7.11,4.46,20.32,-8.73
"Dec 08, 2022 - HOU @ SAS",L,110.72,41.21,89.14,46.25,9.74,30.54,31.65,18.56,25.0,73.93,13.37,33.11,46.47,22.79,15.56,7.18,4.53,20.26,-8.49
"Dec 05, 2022 - HOU vs. PHI",W,110.69,41.26,89.29,46.22,9.74,30.52,31.7,18.43,24.83,73.92,13.41,32.98,46.4,22.79,15.53,7.1,4.52,20.24,-8.5
"Dec 03, 2022 - HOU @ GSW",L,111.05,41.27,89.37,46.2,9.81,30.66,31.77,18.69,25.15,73.97,13.46,33.02,46.47,22.73,15.63,7.14,4.49,20.36,-8.2
"Dec 02, 2022 - HOU @ PHX",W,110.88,41.25,89.4,46.16,9.7,30.62,31.42,18.68,25.07,74.24,13.47,32.98,46.45,22.63,15.62,7.12,4.48,20.25,-8.38
"Nov 30, 2022 - HOU @ DEN",L,111.07,41.23,89.26,46.21,9.67,30.51,31.45,18.93,25.36,74.32,13.46,32.9,46.36,22.57,15.64,7.2,4.44,20.28,-8.23
"Nov 28, 2022 - HOU @ DEN",L,110.89,41.16,89.24,46.15,9.71,30.68,31.41,18.85,25.24,74.38,13.4,32.84,46.24,22.5,15.61,7.16,4.47,20.27,-8.42
"Nov 26, 2022 - HOU vs. OKC",W,110.92,41.13,89.17,46.14,9.81,30.89,31.49,18.86,25.24,74.4,13.38,32.71,46.1,22.54,15.63,7.11,4.43,20.27,-8.54
"Nov 25, 2022 - HOU vs. ATL",W,111.03,41.19,89.12,46.24,9.94,30.97,31.78,18.72,25.06,74.36,13.34,32.86,46.2,22.58,15.78,7.14,4.41,20.25,-8.2
"Nov 20, 2022 - HOU vs. GSW",L,111.29,41.18,89.09,46.25,9.97,31.03,31.82,18.95,25.31,74.49,13.48,32.92,46.4,22.62,15.88,7.17,4.4,20.38,-7.98
"Nov 18, 2022 - HOU vs. IND",L,111.42,41.18,89.11,46.24,10.05,31.24,31.84,19.02,25.33,74.65,13.45,32.92,46.38,22.64,15.85,7.26,4.35,20.26,-7.97
"Nov 16, 2022 - HOU @ DAL",W,111.12,41.0,89.06,46.06,9.99,31.19,31.69,19.13,25.43,74.8,13.46,32.96,46.42,22.52,15.87,7.27,4.34,20.31,-7.97
"Nov 14, 2022 - HOU vs. LAC",L,110.97,40.91,88.85,46.06,9.99,31.06,31.89,19.16,25.41,74.98,13.4,33.16,46.56,22.5,15.97,7.18,4.56,20.29,-7.72
"Nov 12, 2022 - HOU @ NOP",L,110.9,40.88,88.81,46.05,9.97,31.04,31.86,19.16,25.49,74.78,13.35,33.12,46.46,22.46,15.94,7.23,4.54,20.32,-7.84
"Nov 09, 2022 - HOU @ TOR",L,110.83,40.87,88.67,46.12,10.0,31.11,31.88,19.09,25.39,74.83,13.3,33.11,46.41,22.49,16.09,7.23,4.53,20.36,-7.91
"Nov 07, 2022 - HOU @ ORL",W,110.8,40.82,88.61,46.09,9.99,31.17,31.8,19.18,25.46,74.95,13.34,33.11,46.45,22.58,16.08,7.25,4.56,20.32,-7.9
"Nov 05, 2022 - HOU @ MIN",L,111.12,40.89,88.58,46.18,10.18,31.4,32.05,19.17,25.46,74.91,13.35,33.01,46.36,22.69,16.17,7.28,4.58,20.36,-7.69
"Nov 02, 2022 - HOU vs. LAC",L,111.21,40.88,88.52,46.2,10.26,31.49,32.19,19.19,25.53,74.82,13.33,32.85,46.18,22.75,16.26,7.32,4.52,20.33,-7.75
"Oct 31, 2022 - HOU @ LAC",L,111.07,40.82,88.51,46.15,10.27,31.58,32.14,19.15,25.47,74.83,13.36,32.86,46.23,22.68,16.3,7.34,4.53,20.35,-7.76
"Oct 30, 2022 - HOU @ PHX",L,110.83,40.73,88.51,46.05,10.24,31.53,32.09,19.12,25.44,74.82,13.28,32.92,46.2,22.6,16.28,7.36,4.57,20.29,-7.68
"Oct 28, 2022 - HOU @ POR",L,110.8,40.7,88.49,46.01,10.25,31.57,32.1,19.16,25.45,74.95,13.33,32.91,46.24,22.54,16.26,7.36,4.53,20.36,-7.78
"Oct 26, 2022 - HOU @ UTA",L,110.81,40.69,88.56,45.97,10.3,31.65,32.16,19.13,25.39,75.03,13.32,32.82,46.14,22.55,16.27,7.39,4.55,20.32,-7.86
"Oct 24, 2022 - HOU vs. UTA",W,110.68,40.63,88.63,45.87,10.31,31.76,32.1,19.12,25.37,75.03,13.33,32.85,46.18,22.5,16.31,7.38,4.51,20.45,-7.86
"Oct 22, 2022 - HOU @ MIL",L,110.72,40.59,88.65,45.83,10.32,31.8,32.09,19.22,25.46,75.15,13.38,32.81,46.19,22.43,16.3,7.38,4.54,20.44,-7.68
"Oct 21, 2022 - HOU vs. MEM",L,110.65,40.54,88.7,45.74,10.39,31.86,32.23,19.19,25.41,75.17,13.4,32.8,46.2,22.4,16.27,7.4,4.56,20.46,-7.84
"Oct 19, 2022 - HOU @ ATL",L,110.79,40.58,88.75,45.76,10.46,31.9,32.4,19.17,25.47,74.99,13.4,32.79,46.19,22.35,16.25,7.36,4.58,20.48,-7.83
