MATCH UP,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Dec 07, 2022 - NOP vs. DET",W,113.4,41.6,86.93,47.99,10.79,29.9,35.94,19.4,24.48,79.92,10.29,32.72,43.02,25.47,14.5,8.1,3.88,20.79,-0.19
"Dec 04, 2022 - NOP vs. DEN",W,113.24,41.56,86.9,47.95,10.75,29.85,35.83,19.37,24.46,79.89,10.29,32.85,43.14,25.39,14.58,8.1,3.97,20.8,-0.08
"Dec 02, 2022 - NOP @ SAS",W,113.37,41.55,86.8,48.0,10.75,29.78,35.94,19.52,24.65,79.86,10.22,32.8,43.02,25.45,14.52,8.13,3.98,20.82,0.17
"Nov 30, 2022 - NOP vs. TOR",W,113.43,41.52,86.89,47.92,10.77,29.98,35.82,19.61,24.67,80.13,10.21,32.97,43.18,25.44,14.43,8.15,4.0,20.77,0.46
"Nov 28, 2022 - NOP vs. OKC",W,113.63,41.58,86.87,48.0,10.82,30.03,35.93,19.65,24.69,80.2,10.24,33.08,43.32,25.48,14.52,8.18,4.0,20.69,0.74
"Nov 25, 2022 - NOP @ MEM",L,113.49,41.54,86.87,47.94,10.79,30.06,35.8,19.62,24.62,80.36,10.3,33.11,43.41,25.41,14.63,8.24,4.06,20.65,0.79
"Nov 23, 2022 - NOP @ SAS",W,113.45,41.47,86.86,47.87,10.78,30.08,35.75,19.73,24.72,80.46,10.31,33.06,43.38,25.42,14.61,8.25,4.06,20.67,0.45
"Nov 21, 2022 - NOP vs. GSW",W,113.69,41.55,86.78,48.01,10.83,30.12,35.85,19.75,24.8,80.3,10.28,33.08,43.35,25.54,14.71,8.25,4.08,20.69,0.74
"Nov 18, 2022 - NOP vs. BOS",L,113.91,41.67,86.85,48.1,10.89,30.3,35.85,19.68,24.74,80.17,10.29,33.17,43.45,25.61,14.7,8.35,4.09,20.62,1.41
"Nov 16, 2022 - NOP vs. CHI",W,113.84,41.69,86.85,48.12,10.93,30.37,35.87,19.54,24.57,80.12,10.24,33.12,43.36,25.58,14.67,8.42,4.07,20.58,1.27
"Nov 15, 2022 - NOP vs. MEM",W,113.99,41.71,86.82,48.16,11.01,30.41,36.1,19.56,24.56,80.23,10.26,33.13,43.4,25.65,14.68,8.35,4.1,20.54,1.46
"Nov 12, 2022 - NOP vs. HOU",W,113.97,41.72,86.88,48.14,11.12,30.52,36.26,19.41,24.38,80.15,10.22,33.17,43.39,25.72,14.61,8.26,4.16,20.54,1.59
"Nov 10, 2022 - NOP vs. POR",L,114.04,41.73,86.87,48.15,11.07,30.5,36.14,19.51,24.47,80.25,10.24,33.04,43.29,25.76,14.57,8.33,4.11,20.57,1.76
"Nov 09, 2022 - NOP @ CHI",W,113.77,41.61,86.76,48.06,11.06,30.46,36.13,19.51,24.46,80.23,10.23,33.08,43.31,25.66,14.61,8.25,4.13,20.58,1.58
"Nov 07, 2022 - NOP @ IND",L,113.79,41.61,86.72,48.09,10.94,30.31,35.85,19.62,24.62,80.2,10.26,33.14,43.4,25.58,14.62,8.25,4.14,20.54,1.61
"Nov 05, 2022 - NOP @ ATL",L,113.9,41.7,86.86,48.11,10.99,30.36,35.92,19.52,24.52,80.07,10.3,33.1,43.4,25.67,14.56,8.23,4.14,20.53,1.49
"Nov 04, 2022 - NOP vs. GSW",W,114.0,41.77,87.15,48.05,10.93,30.26,35.85,19.53,24.57,79.95,10.42,33.19,43.61,25.64,14.58,8.23,4.16,20.58,1.43
"Nov 02, 2022 - NOP @ LAL",L,114.0,41.76,87.07,48.08,10.95,30.24,35.92,19.53,24.63,79.81,10.4,33.12,43.52,25.61,14.6,8.25,4.13,20.59,1.53
"Oct 30, 2022 - NOP @ LAC",W,114.04,41.83,87.26,48.06,10.91,30.17,35.87,19.47,24.58,79.69,10.41,33.21,43.62,25.74,14.59,8.28,4.14,20.58,1.47
"Oct 28, 2022 - NOP @ PHX",L,114.01,41.88,87.34,48.07,10.96,30.25,35.94,19.29,24.36,79.47,10.43,33.27,43.7,25.82,14.57,8.29,4.1,20.51,1.73
"Oct 25, 2022 - NOP vs. DAL",W,113.97,41.83,87.32,48.02,11.01,30.33,36.0,19.29,24.33,79.62,10.41,33.15,43.56,25.81,14.56,8.31,4.06,20.51,1.54
"Oct 23, 2022 - NOP vs. UTA",L,113.96,41.86,87.18,48.15,11.03,30.29,36.11,19.22,24.25,79.52,10.33,33.01,43.34,25.8,14.56,8.29,4.05,20.52,1.54
"Oct 21, 2022 - NOP @ CHA",W,114.05,41.94,87.36,48.14,10.99,30.25,36.03,19.19,24.23,79.5,10.38,32.99,43.36,25.85,14.59,8.29,4.08,20.54,1.51
"Oct 19, 2022 - NOP @ BKN",W,114.17,41.94,87.38,48.12,10.95,30.15,36.03,19.35,24.38,79.58,10.43,33.05,43.48,25.81,14.6,8.3,4.11,20.46,1.64
