DATE,HOME TEAM,AWAY TEAM,Winner (H/A),HOME PTS,HOME FGM,HOME FGA,HOME FG%,HOME 3PM,HOME 3PA,HOME 3P%,HOME FTM,HOME FTA,HOME FT%,HOME OREB,HOME DREB,HOME REB,HOME AST,HOME TOV,HOME STL,HOME BLK,HOME PF,HOME +/-,AWAY PTS,AWAY FGM,AWAY FGA,AWAY FG%,AWAY 3PM,AWAY 3PA,AWAY 3P%,AWAY FTM,AWAY FTA,AWAY FT%,AWAY OREB,AWAY DREB,AWAY REB,AWAY AST,AWAY TOV,AWAY STL,AWAY BLK,AWAY PF,AWAY +/-
"Mar 26, 2021",GSW,ATL,A,115.69,42.0,87.62,47.9,15.96,41.31,38.44,15.73,19.5,80.61,8.38,35.27,43.65,27.85,15.54,8.46,4.62,20.12,5.08,115.33,42.15,87.48,48.19,12.19,31.26,38.71,18.85,23.63,80.24,9.33,35.85,45.19,23.89,12.15,7.22,4.41,18.37,2.7
"Mar 24, 2021",SAC,ATL,H,112.5,42.18,87.79,48.29,12.57,34.11,36.81,15.57,20.14,77.37,7.86,31.54,39.39,24.93,13.07,9.04,5.25,18.79,-2.36,115.64,42.29,87.36,48.43,12.21,31.32,38.73,18.86,23.64,80.2,9.29,35.89,45.18,24.14,12.07,7.18,4.43,18.54,3.18
"Mar 22, 2021",LAC,ATL,H,112.79,41.64,86.61,48.27,14.07,34.64,40.95,15.43,18.57,84.06,9.43,34.93,44.36,24.46,13.57,6.71,3.64,19.32,7.29,115.38,42.24,87.28,48.42,12.03,31.1,38.36,18.86,23.62,80.29,9.34,35.72,45.07,23.9,12.1,7.1,4.38,18.59,3.0
"Mar 20, 2021",LAL,ATL,A,106.2,38.9,85.57,45.4,11.47,32.27,35.44,16.93,23.37,72.29,9.37,33.07,42.43,24.5,15.4,8.6,4.63,19.33,-1.47,115.2,42.27,87.53,48.32,12.03,31.2,38.26,18.63,23.37,80.11,9.53,35.63,45.17,23.8,11.93,6.97,4.33,18.57,2.6
"Mar 18, 2021",ATL,OKC,H,114.68,42.16,87.87,48.04,12.06,31.39,38.16,18.29,22.9,80.39,9.74,35.55,45.29,23.87,11.81,7.16,4.42,18.65,2.68,103.61,38.58,89.29,43.33,10.71,32.65,32.97,15.74,22.45,70.23,12.45,34.84,47.29,21.03,18.0,7.19,4.42,18.03,-16.61
"Mar 16, 2021",HOU,ATL,A,110.53,39.97,87.88,45.58,14.24,40.32,35.18,16.35,22.41,73.42,9.53,33.35,42.88,25.18,15.0,7.09,4.38,18.82,-9.29,114.72,42.31,87.84,48.23,12.03,31.44,38.01,18.06,22.59,80.52,9.62,35.81,45.44,23.94,11.88,7.12,4.5,18.56,3.31
"Mar 14, 2021",ATL,CLE,H,114.85,42.36,87.79,48.32,12.18,31.61,38.25,17.94,22.39,80.74,9.61,35.61,45.21,24.18,11.88,7.15,4.55,18.55,3.58,104.32,37.97,84.32,45.14,10.71,32.15,33.1,17.68,23.0,77.18,9.53,32.68,42.21,24.59,15.09,7.24,3.68,16.97,-8.44
"Mar 13, 2021",ATL,SAC,H,114.41,42.06,87.29,48.22,12.18,31.53,38.34,18.12,22.5,81.08,9.68,35.65,45.32,24.09,12.15,7.06,4.59,18.62,4.0,112.59,42.21,87.56,48.4,12.24,33.44,36.54,15.94,20.68,76.92,7.85,31.97,39.82,24.94,13.03,8.56,5.32,18.85,-1.97
"Mar 11, 2021",TOR,ATL,A,109.26,39.6,89.31,44.47,13.34,38.31,34.8,16.71,20.97,79.34,9.54,32.11,41.66,23.0,12.69,8.71,5.29,20.29,-2.4,114.6,42.09,87.2,48.31,12.17,31.57,38.28,18.26,22.8,80.75,9.77,35.54,45.31,24.0,12.06,7.03,4.51,18.57,4.31
"Mar 03, 2021",ORL,ATL,A,102.39,37.44,88.0,42.62,9.94,30.33,32.52,17.56,23.06,75.86,10.14,34.36,44.5,20.89,12.64,6.78,4.61,17.47,-12.03,114.78,42.0,87.28,48.17,12.25,31.86,38.21,18.53,23.14,80.73,9.83,35.69,45.53,23.89,12.11,7.06,4.75,18.78,4.22
"Mar 02, 2021",MIA,ATL,A,109.16,40.03,84.3,47.61,13.03,36.0,36.42,16.08,20.43,78.77,8.46,32.16,40.62,26.84,12.41,8.65,4.05,18.3,1.86,114.78,41.89,87.22,48.08,12.49,32.22,38.44,18.51,23.03,81.11,9.73,35.7,45.43,23.95,12.11,7.05,4.76,18.95,4.19
"Feb 28, 2021",MIA,ATL,H,108.39,39.71,84.05,47.33,12.92,35.92,36.18,16.05,20.47,78.49,8.37,31.87,40.24,26.53,12.32,8.84,4.05,18.16,1.45,114.24,41.68,86.79,48.07,12.5,32.32,38.38,18.37,22.82,81.26,9.76,35.71,45.47,24.0,12.39,7.0,4.68,18.92,4.45
"Feb 26, 2021",OKC,ATL,H,103.31,38.33,88.49,43.51,10.87,33.0,33.29,15.77,22.0,71.78,11.87,34.67,46.54,20.92,17.46,6.95,4.54,17.97,-15.41,113.85,41.54,86.79,47.9,12.38,32.38,37.98,18.38,22.79,81.39,9.92,35.64,45.56,23.95,12.51,7.13,4.72,18.95,4.08
"Feb 24, 2021",ATL,BOS,H,113.72,41.58,87.05,47.81,12.38,32.58,37.78,18.2,22.65,80.97,10.15,35.62,45.77,23.88,12.47,7.1,4.72,18.8,3.75,114.15,41.95,89.22,47.13,14.7,38.85,38.05,15.55,19.8,79.18,10.3,34.33,44.62,24.57,13.95,7.33,5.53,19.8,2.3
"Feb 23, 2021",CLE,ATL,H,103.67,37.88,84.35,45.03,10.6,31.82,33.11,17.32,22.7,76.66,9.6,32.9,42.5,24.2,15.38,7.22,3.98,17.38,-7.8,114.05,41.66,87.0,47.93,12.63,32.8,38.2,18.1,22.51,81.0,10.2,35.56,45.76,23.95,12.59,7.02,4.73,18.9,4.02
"Feb 23, 2021",CLE,ATL,H,103.67,37.88,84.35,45.03,10.6,31.82,33.11,17.32,22.7,76.66,9.6,32.9,42.5,24.2,15.38,7.22,3.98,17.38,-7.8,114.05,41.66,87.0,47.93,12.63,32.8,38.2,18.1,22.51,81.0,10.2,35.56,45.76,23.95,12.59,7.02,4.73,18.9,4.02
"Feb 19, 2021",BOS,ATL,H,113.95,41.86,89.49,46.91,14.37,38.63,37.34,15.86,20.16,79.21,10.4,34.16,44.56,24.28,13.67,7.4,5.67,19.98,1.6,114.19,41.63,86.91,47.96,12.65,32.79,38.29,18.28,22.77,80.86,10.26,35.35,45.6,24.02,12.56,7.07,4.7,18.93,4.0
"Feb 17, 2021",BOS,ATL,A,114.11,42.05,89.5,47.1,14.36,38.55,37.4,15.66,19.93,79.0,10.36,34.18,44.55,24.32,13.77,7.41,5.82,20.0,1.84,114.07,41.55,86.98,47.83,12.59,32.73,38.18,18.39,22.82,81.11,10.32,35.18,45.5,23.95,12.59,7.23,4.73,18.82,3.64
